"Date","Passage"
"01-01","Gen 1-3"
"01-02","Gen 4-7"
"01-03","Gen 8-11"
"01-04","Gen 12-15"
"01-05","Gen 16-18"
"01-06","Gen 19-21"
"01-07","Gen 22-24"
"01-08","Gen 25-26"
"01-09","Gen 27-29"
"01-10","Gen 30-31"
"01-11","Gen 32-33"
"01-12","Gen 34-36"
"01-13","Gen 37-39"
"01-14","Gen 40-41"
"01-15","Gen 42-44"
"01-16","Gen 45-46"
"01-17","Gen 47-49"
"01-18","Gen 50; Ex 1-3"
"01-19","Ex 4-6"
"01-20","Ex 7-8"
"01-21","Ex 9-11"
"01-22","Ex 12-13"
"01-23","Ex 14-16"
"01-24","Ex 17-20"
"01-25","Ex 21-22"
"01-26","Ex 23-25"
"01-27","Ex 26-28"
"01-28","Ex 29"
"01-29","Ex 30-32"
"01-30","Ex 33-35"
"01-31","Ex 36-38"
"02-01","Ex 39-40"
"02-02","Lev 1-4"
"02-03","Lev 5-6"
"02-04","Lev 7-9"
"02-05","Lev 10-12"
"02-06","Lev 13"
"02-07","Lev 14-15"
"02-08","Lev 16-17"
"02-09","Lev 18-20"
"02-10","Lev 21-23"
"02-11","Lev 24-25"
"02-12","Lev 26-27"
"02-13","Num 1-2"
"02-14","Num 3"
"02-15","Num 4-6"
"02-16","Num 7"
"02-17","Num 8-10"
"02-18","Num 11-13"
"02-19","Num 14-15"
"02-20","Num 16-17"
"02-21","Num 18-20"
"02-22","Num 21-22"
"02-23","Num 23-25"
"02-24","Num 26-28"
"02-25","Num 29-30"
"02-26","Num 31-32"
"02-27","Num 33-35"
"02-28","Num 36; Deut 1"
"03-01","Deut 2-3"
"03-02","Deut 4-6"
"03-03","Deut 7-9"
"03-04","Deut 10-11"
"03-05","Deut 12-14"
"03-06","Deut 15-17"
"03-07","Deut 18-20"
"03-08","Deut 21-23"
"03-09","Deut 24-26"
"03-10","Deut 27-28"
"03-11","Deut 29-30"
"03-12","Deut 31-32"
"03-13","Deut 33-34; Josh 1-2"
"03-14","Josh 3-5"
"03-15","Josh 6-7"
"03-16","Josh 8-10"
"03-17","Josh 11-12"
"03-18","Josh 13-16"
"03-19","Josh 17-19"
"03-20","Josh 20-22"
"03-21","Josh 23-24"
"03-22","Jdg 1-3"
"03-23","Jdg 4-5"
"03-24","Jdg 6-7"
"03-25","Jdg 8-9"
"03-26","Jdg 10-12"
"03-27","Jdg 13-15"
"03-28","Jdg 16-18"
"03-29","Jdg 19"
"03-30","Jdg 20-21; Rut 1"
"03-31","Rut 2-4"
"04-01","1 Sa 1-3"
"04-02","1 Sa 4-7"
"04-03","1 Sa 8-9"
"04-04","1 Sa 10-13"
"04-05","1 Sa 14"
"04-06","1 Sa 15-16"
"04-07","1 Sa 17-19"
"04-08","1 Sa 20-21"
"04-09","1 Sa 22-24"
"04-10","1 Sa 25-26"
"04-11","1 Sa 27-30"
"04-12","1 Sa 31; 2 Sa 1-2"
"04-13","2 Sa 3-5"
"04-14","2 Sa 6-8"
"04-15","2 Sa 9-11"
"04-16","2 Sa 12-13"
"04-17","2 Sa 14-15"
"04-18","2 Sa 16-18"
"04-19","2 Sa 19"
"04-20","2 Sa 20-22"
"04-21","2 Sa 23-24"
"04-22","1 Kgs 1-2"
"04-23","1 Kgs 3-4"
"04-24","1 Kgs 5-7"
"04-25","1 Kgs 8"
"04-26","1 Kgs 9-10"
"04-27","1 Kgs 11-12"
"04-28","1 Kgs 13-14"
"04-29","1 Kgs 15-16"
"04-30","1 Kgs 17-18"
"05-01","1 Kgs 19-20"
"05-02","1 Kgs 21-22"
"05-03","2 Kgs 1-3"
"05-04","2 Kgs 4"
"05-05","2 Kgs 5-7"
"05-06","2 Kgs 8-9"
"05-07","2 Kgs 10-11"
"05-08","2 Kgs 12-14"
"05-09","2 Kgs 15-16"
"05-10","2 Kgs 17-18"
"05-11","2 Kgs 19-20"
"05-12","2 Kgs 21-23"
"05-13","2 Kgs 24-25"
"05-14","1 Chr 1-3"
"05-15","1 Chr 4-6"
"05-16","1 Chr 7-8"
"05-17","1 Chr 9-11"
"05-18","1 Chr 12-15"
"05-19","1 Chr 16-18"
"05-20","1 Chr 19-22"
"05-21","1 Chr 23-25"
"05-22","1 Chr 26-28"
"05-23","1 Chr 29; 2 Chr 1-2"
"05-24","2 Chr 3-5"
"05-25","2 Chr 6-8"
"05-26","2 Chr 9-12"
"05-27","2 Chr 13-16"
"05-28","2 Chr 17-19"
"05-29","2 Chr 20-22"
"05-30","2 Chr 23-25"
"05-31","2 Chr 26-28"
"06-01","2 Chr 29-30"
"06-02","2 Chr 31-32"
"06-03","2 Chr 33-35"
"06-04","2 Chr 36; Ezr 1-2"
"06-05","Ezr 3-5"
"06-06","Ezr 6-7"
"06-07","Ezr 8-10"
"06-08","Neh 1-3"
"06-09","Neh 4-6"
"06-10","Neh 7-9"
"06-11","Neh 10-11"
"06-12","Neh 12-13"
"06-13","Est 1-4"
"06-14","Est 5-8"
"06-15","Est 9-10; Job 1-2"
"06-16","Job 3-8"
"06-17","Job 9-13"
"06-18","Job 14-18"
"06-19","Job 19-23"
"06-20","Job 24-29"
"06-21","Job 30-33"
"06-22","Job 34-38"
"06-23","Job 39-42; Ps 1"
"06-24","Ps 2-10"
"06-25","Ps 11-18"
"06-26","Ps 19-26"
"06-27","Ps 27-34"
"06-28","Ps 35-39"
"06-29","Ps 40-47"
"06-30","Ps 48-55"
"07-01","Ps 56-63"
"07-02","Ps 64-69"
"07-03","Ps 70-76"
"07-04","Ps 77-80"
"07-05","Ps 81-88"
"07-06","Ps 89-96"
"07-07","Ps 97-104"
"07-08","Ps 105-107"
"07-09","Ps 108-117"
"07-10","Ps 118-119"
"07-11","Ps 120-133"
"07-12","Ps 134-142"
"07-13","Ps 143-150; Pro 1"
"07-14","Pro 2-6"
"07-15","Pro 7-11"
"07-16","Pro 12-15"
"07-17","Pro 16-19"
"07-18","Pro 20-24"
"07-19","Pro 25-28"
"07-20","Pro 29-31; Ecc 1"
"07-21","Ecc 2-6"
"07-22","Ecc 7-10"
"07-23","Ecc 11-12; Sos 1-4"
"07-24","Sos 5-8; Isa 1"
"07-25","Isa 2-5"
"07-26","Isa 6-9"
"07-27","Isa 10-13"
"07-28","Isa 14-18"
"07-29","Isa 19-23"
"07-30","Isa 24-27"
"07-31","Isa 28-30"
"08-01","Isa 31-34"
"08-02","Isa 35-37"
"08-03","Isa 38-41"
"08-04","Isa 42-44"
"08-05","Isa 45-48"
"08-06","Isa 49-51"
"08-07","Isa 52-56"
"08-08","Isa 57-60"
"08-09","Isa 61-64"
"08-10","Isa 65-66; Jer 1"
"08-11","Jer 2-4"
"08-12","Jer 5-6"
"08-13","Jer 7-9"
"08-14","Jer 10-12"
"08-15","Jer 13-15"
"08-16","Jer 16-18"
"08-17","Jer 19-22"
"08-18","Jer 23-24"
"08-19","Jer 25-27"
"08-20","Jer 28-29"
"08-21","Jer 30-31"
"08-22","Jer 32-33"
"08-23","Jer 34-36"
"08-24","Jer 37-39"
"08-25","Jer 40-42"
"08-26","Jer 43-45"
"08-27","Jer 46-48"
"08-28","Jer 49-50"
"08-29","Jer 51"
"08-30","Jer 52; Lam 1"
"08-31","Lam 2-4"
"09-01","Lam 5; Eze 1-3"
"09-02","Eze 4-6"
"09-03","Eze 7-10"
"09-04","Eze 11-13"
"09-05","Eze 14-16"
"09-06","Eze 17-18"
"09-07","Eze 19-20"
"09-08","Eze 21-22"
"09-09","Eze 23-24"
"09-10","Eze 25-27"
"09-11","Eze 28-30"
"09-12","Eze 31-32"
"09-13","Eze 33-35"
"09-14","Eze 36-37"
"09-15","Eze 38-39"
"09-16","Eze 40-42"
"09-17","Eze 43-44"
"09-18","Eze 45-46"
"09-19","Eze 47-48; Dan 1"
"09-20","Dan 2-3"
"09-21","Dan 4-5"
"09-22","Dan 6-7"
"09-23","Dan 8-9"
"09-24","Dan 10-11"
"09-25","Dan 12; Hos 1-4"
"09-26","Hos 5-10"
"09-27","Hos 11-14; Joe 1"
"09-28","Joe 2-3; Amo 1-2"
"09-29","Amo 3-7"
"09-30","Amo 8-9; Oba; Jon 1"
"10-01","Jon 2-4; Mic 1-3"
"10-02","Mic 4-7; Nah 1"
"10-03","Nah 2-3; Hab 1-3"
"10-04","Zep 1-3; Hag 1"
"10-05","Hag 2; Zec 1-4"
"10-06","Zec 5-9"
"10-07","Zec 10-14"
"10-08","Mal 1-4"
"10-09","Mat 1-4"
"10-10","Mat 5-7"
"10-11","Mat 8-9"
"10-12","Mat 10-12"
"10-13","Mat 13-14"
"10-14","Mat 15-17"
"10-15","Mat 18-20"
"10-16","Mat 21-22"
"10-17","Mat 23-24"
"10-18","Mat 25-26"
"10-19","Mat 27-28"
"10-20","Mk 1-3"
"10-21","Mk 4-5"
"10-22","Mk 6-8"
"10-23","Mk 9-10"
"10-24","Mk 11-12"
"10-25","Mk 13-14"
"10-26","Mk 15-16"
"10-27","Luk 1-2"
